 0.8544,"In the name of Allah, Most Gracious, Most Merciful.","Gracious is the LORD, and righteous; yea, our God is merciful."
 0.9109,When the oceans boil over with a swell;,"By his knowledge the depths are broken up, and the clouds drop down the dew."
 0.9158,"When the souls are sorted out, (being joined, like with like);","Dead things are formed from under the waters, and the inhabitants thereof."
 0.9226,"When the female (infant), buried alive, is questioned -","And a certain woman, which had an issue of blood twelve years,"
 0.9134,For what crime she was killed;,"Then I saw that she was defiled, that they took both one way,"
 0.9096,When the scrolls are laid open;,"Dig thou through the wall in their sight, and carry out thereby."
 0.9186,When the world on High is unveiled;,"The heaven for height, and the earth for depth, and the heart of kings is unsearchable."
 0.9106,When the Blazing Fire is kindled to fierce heat;,And a fire was kindled in their company; the flame burned up the wicked.
 0.9300,And when the Garden is brought near;-,"And the priest shall come again the seventh day, and shall look: and, behold, if the plague be spread in the walls of the house;"
 0.9250,(Then) shall each soul know what it has put forward.,"What shall we say then that Abraham our father, as pertaining to the flesh, hath found?"
 0.9416,"So verily I call to witness the planets - that recede,","They run and prepare themselves without my fault: awake to help me, and behold."
 0.9006,"Go straight, or hide;","If he cut off, and shut up, or gather together, then who can hinder him?"
 0.9101,And the Night as it dissipates;,"So it was alway: the cloud covered it by day, and the appearance of fire by night."
 0.9020,And the Dawn as it breathes away the darkness;-,"So it was alway: the cloud covered it by day, and the appearance of fire by night."
 0.8999,"Verily this is the word of a most honourable Messenger,","And I beseech you, brethren, suffer the word of exhortation: for I have written a letter unto you in few words."
 0.9433,"Endued with Power, with rank before the Lord of the Throne,","Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;"
 0.9325,"With authority there, (and) faithful to his trust.","With good will doing service, as to the Lord, and not to men:"
 0.9362,And (O people!) your companion is not one possessed;,"Moab is confounded; for it is broken down: howl and cry; tell ye it in Arnon, that Moab is spoiled,"
 0.9215,And without doubt he saw him in the clear horizon.,"Then I returned, and I saw vanity under the sun."
 0.9167,Neither doth he withhold grudgingly a knowledge of the Unseen.,"Wherefore doth the wicked contemn God? he hath said in his heart, Thou wilt not require it."
 0.9232,Nor is it the word of an evil spirit accursed.,The thought of foolishness is sin: and the scorner is an abomination to men.
 0.9079,When whither go ye?,"And whither I go ye know, and the way ye know."
 0.9248,Verily this is no less than a Message to (all) the Worlds:,"Again, the kingdom of heaven is like unto a merchant man, seeking goodly pearls:"
 0.9357,(With profit) to whoever among you wills to go straight:,Who will render to every man according to his deeds:
 0.9328,"But ye shall not will except as Allah wills,- the Cherisher of the Worlds.","God shall hear, and afflict them, even he that abideth of old. Selah. Because they have no changes, therefore they fear not God."
 0.9131,When the Sky is cleft asunder;,For our soul is bowed down to the dust: our belly cleaveth unto the earth.
 0.8920,When the Stars are scattered;,"Dead things are formed from under the waters, and the inhabitants thereof."
 0.9337,When the Oceans are suffered to burst forth;,When he established the clouds above: when he strengthened the fountains of the deep:
 0.9044,And when the Graves are turned upside down;-,And the heaven departed as a scroll when it is rolled together; and every mountain and island were moved out of their places.
 0.9235,(Then) shall each soul know what it hath sent forward and (what it hath) kept back.,"As God liveth, who hath taken away my judgment; and the Almighty, who hath vexed my soul;"
 0.9302,O man! What has seduced thee from thy Lord Most Beneficent?-,"O LORD God of hosts, who is a strong LORD like unto thee? or to thy faithfulness round about thee?"
 0.9332,"Him Who created thee. Fashioned thee in due proportion, and gave thee a just bias;","Thou hast loved righteousness, and hated iniquity; therefore God, even thy God, hath anointed thee with the oil of gladness above thy fellows."
 0.9250,"In whatever Form He wills, does He put thee together.","Who shall change our vile body, that it may be fashioned like unto his glorious body, according to the working whereby he is able even to subdue all things unto himself."
 0.9372,Nay! But ye do reject Right and Judgment!,"Yea, and why even of yourselves judge ye not what is right?"
 0.9325,"But verily over you (are appointed angels) to protect you,-","Behold, there came fire down from heaven, and burnt up the two captains of the former fifties with their fifties: therefore let my life now be precious in thy sight."
 0.9158,"Kind and honourable,- Writing down (your deeds):",Honour thy father and mother; which is the first commandment with promise;
 0.8923,They know (and understand) all that ye do.,And ye are witnesses of these things.
 0.9189,"As for the Righteous, they will be in bliss;",But the meek shall inherit the earth; and shall delight themselves in the abundance of peace.
 0.9337,"And the Wicked - they will be in the Fire,","The wicked shall be turned into hell, and all the nations that forget God."
 0.9301,"Which they will enter on the Day of Judgment,","Behold, I will send you Elijah the prophet before the coming of the great and dreadful day of the LORD:"
 0.8897,And they will not be able to keep away therefrom.,"They shall go down to the bars of the pit, when our rest together is in the dust."
 0.9028,And what will explain to thee what the Day of Judgment is?,"For the time is come that judgment must begin at the house of God: and if it first begin at us, what shall the end be of them that obey not the gospel of God?"
 0.9017,"Again, what will explain to thee what the Day of Judgment is?","Is any thing too hard for the LORD? At the time appointed I will return unto thee, according to the time of life, and Sarah shall have a son."
 0.9261,"(It will be) the Day when no soul shall have power (to do) aught for another: For the command, that Day, will be (wholly) with Allah.",There is no man that hath power over the spirit to retain the spirit; neither hath he power in the day of death: and there is no discharge in that war; neither shall wickedness deliver those that are given to it.
 0.9019,"Woe to those that deal in fraud,-","Woe to her that is filthy and polluted, to the oppressing city!"
 0.9496,"Those who, when they have to receive by measure from men, exact full measure,","And likewise also the men, leaving the natural use of the woman, burned in their lust one toward another; men with men working that which is unseemly, and receiving in themselves that recompence of their error which was meet."
 0.9403,"But when they have to give by measure or weight to men, give less than due.","Now to him that worketh is the reward not reckoned of grace, but of debt."
 0.9231,Do they not think that they will be called to account?-,"Else what shall they do which are baptized for the dead, if the dead rise not at all? why are they then baptized for the dead?"
 0.9062,"On a Mighty Day,","And in the four and twentieth day of the first month, as I was by the side of the great river, which is Hiddekel;"
 0.9165,A Day when (all) mankind will stand before the Lord of the Worlds?,And then shall they see the Son of man coming in a cloud with power and great glory.
 0.9344,Nay! Surely the record of the wicked is (preserved) in Sijjin.,Zebulun and Naphtali were a people that jeoparded their lives unto the death in the high places of the field.
 0.9255,And what will explain to thee what Sijjin is?,Who is this that darkeneth counsel by words without knowledge?
 0.9176,(There is) a Register (fully) inscribed.,But (which becometh women professing godliness) with good works.
 0.9131,"Woe, that Day, to those that deny-","And woe unto them that are with child, and to them that give suck in those days!"
 0.9230,Those that deny the Day of Judgment.,"The wicked shall be turned into hell, and all the nations that forget God."
 0.9324,And none can deny it but the Transgressor beyond bounds the Sinner!,"The wicked shall be a ransom for the righteous, and the transgressor for the upright."
 0.9042,"When Our Signs are rehearsed to him, he says, ""Tales of the ancients!""","Also when I cry and shout, he shutteth out my prayer."
 0.9449,By no means! but on their hearts is the stain of the (ill) which they do!,For this cause God gave them up unto vile affections: for even their women did change the natural use into that which is against nature:
 0.9412,"Verily, from (the Light of) their Lord, that Day, will they be veiled.","For, behold, the LORD cometh out of his place to punish the inhabitants of the earth for their iniquity: the earth also shall disclose her blood, and shall no more cover her slain."
 0.9278,"Further, they will enter the Fire of Hell.","He will deliver his soul from going into the pit, and his life shall see the light."
 0.9299,"Further, it will be said to them: ""This is the (reality) which ye rejected as false!","And set up false witnesses, which said, This man ceaseth not to speak blasphemous words against this holy place, and the law:"
 0.9272,"Nay, verily the record of the Righteous is (preserved) in 'Illiyin.",Likewise this is the law of the trespass offering: it is most holy.
 0.9311,And what will explain to thee what 'Illiyun is?,"What shall we say then that Abraham our father, as pertaining to the flesh, hath found?"
 0.9171,"(There is) a Register (fully) inscribed,","This is the interpretation of the thing: MENE; God hath numbered thy kingdom, and finished it."
 0.9126,To which bear witness those Nearest (to Allah).,"God shall hear, and afflict them, even he that abideth of old. Selah. Because they have no changes, therefore they fear not God."
 0.9413,Truly the Righteous will be in Bliss:,Blessed are the poor in spirit: for theirs is the kingdom of heaven.
 0.9399,On Thrones (of Dignity) will they command a sight (of all things):,"And the ten horns which thou sawest are ten kings, which have received no kingdom as yet; but receive power as kings one hour with the beast."
 0.9224,Thou wilt recognise in their faces the beaming brightness of Bliss.,"Thy people shall be willing in the day of thy power, in the beauties of holiness from the womb of the morning: thou hast the dew of thy youth."
 0.9226,Their thirst will be slaked with Pure Wine sealed:,He casteth forth his ice like morsels: who can stand before his cold?
 0.9490,"The seal thereof will be Musk: And for this let those aspire, who have aspirations:","Wherefore the rather, brethren, give diligence to make your calling and election sure: for if ye do these things, ye shall never fall:"
 0.9270,With it will be (given) a mixture of Tasnim:,Issachar is a strong ass couching down between two burdens:
 0.9314,"A spring, from (the waters) whereof drink those Nearest to Allah.","A fountain of gardens, a well of living waters, and streams from Lebanon."
 0.9177,"Those in sin used to laugh at those who believed,","That they all might be damned who believed not the truth, but had pleasure in unrighteousness."
 0.9262,"And whenever they passed by them, used to wink at each other (in mockery);","And while they looked stedfastly toward heaven as he went up, behold, two men stood by them in white apparel;"
 0.9081,"And when they returned to their own people, they would return jesting;","And when they were gone aside, they talked between themselves, saying, This man doeth nothing worthy of death or of bonds."
 0.9229,"And whenever they saw them, they would say, ""Behold! These are the people truly astray!""","And when the disciples saw it, they marvelled, saying, How soon is the fig tree withered away!"
 0.9162,But they had not been sent as keepers over them!,They fought from heaven; the stars in their courses fought against Sisera.
 0.9121,But on this Day the Believers will laugh at the Unbelievers:,And be ready against the third day: for the third day the LORD will come down in the sight of all the people upon mount Sinai.
 0.9350,On Thrones (of Dignity) they will command (a sight) (of all things).,"Having a form of godliness, but denying the power thereof: from such turn away."
 0.9023,Will not the Unbelievers have been paid back for what they did?,"Having damnation, because they have cast off their first faith."
 0.9082,"When the sky is rent asunder,","Yet man is born unto trouble, as the sparks fly upward."
 0.9369,"And hearkens to (the Command of) its Lord, and it must needs (do so);-","For God hath put in their hearts to fulfil his will, and to agree, and give their kingdom unto the beast, until the words of God shall be fulfilled."
 0.9188,"And when the earth is flattened out,","The earth is utterly broken down, the earth is clean dissolved, the earth is moved exceedingly."
 0.9296,"And casts forth what is within it and becomes (clean) empty,","The heaven for height, and the earth for depth, and the heart of kings is unsearchable."
 0.9355,"And hearkens to (the Command of) its Lord,- and it must needs (do so);- (then will come Home the full reality).","(For those priests were made without an oath; but this with an oath by him that said unto him, The Lord sware and will not repent, Thou art a priest for ever after the order of Melchisedec:)"
 0.9317,"O thou man! Verily thou art ever toiling on towards thy Lord- painfully toiling,- but thou shalt meet Him.","And he said, Thou shalt no more rejoice, O thou oppressed virgin, daughter of Zidon: arise, pass over to Chittim; there also shalt thou have no rest."
 0.9319,"Then he who is given his Record in his right hand,","And the third angel followed them, saying with a loud voice, If any man worship the beast and his image, and receive his mark in his forehead, or in his hand,"
 0.9224,"Soon will his account be taken by an easy reckoning,",Who shall give account to him that is ready to judge the quick and the dead.
 0.9255,"And he will turn to his people, rejoicing!","And I will beat down his foes before his face, and plague them that hate him."
 0.9326,"But he who is given his Record behind his back,-","To preach the gospel in the regions beyond you, and not to boast in another man's line of things made ready to our hand."
 0.9181,"Soon will he cry for perdition,","He will deliver his soul from going into the pit, and his life shall see the light."
 0.9110,And he will enter a Blazing Fire.,"He will deliver his soul from going into the pit, and his life shall see the light."
 0.9032,"Truly, did he go about among his people, rejoicing!","Is not the meat cut off before our eyes, yea, joy and gladness from the house of our God?"
 0.9127,"Truly, did he think that he would not have to return (to Us)!","That he should still live for ever, and not see corruption."
 0.9156,"Nay, nay! for his Lord was (ever) watchful of him!","Who had his dwelling among the tombs; and no man could bind him, no, not with chains:"
 0.9170,So I do call to witness the ruddy glow of Sunset;,I would hasten my escape from the windy storm and tempest.
 0.9210,The Night and its Homing;,"Also can any understand the spreadings of the clouds, or the noise of his tabernacle?"
 0.9164,And the Moon in her fullness:,"If I beheld the sun when it shined, or the moon walking in brightness;"
 0.8914,Ye shall surely travel from stage to stage.,"Yet man is born unto trouble, as the sparks fly upward."
 0.9045,"What then is the matter with them, that they believe not?-","What then? are we better than they? No, in no wise: for we have before proved both Jews and Gentiles, that they are all under sin;"
 0.9240,"And when the Qur'an is read to them, they fall not prostrate,","Our fathers did eat manna in the desert; as it is written, He gave them bread from heaven to eat."
 0.9105,But on the contrary the Unbelievers reject (it).,The fear of the LORD is the beginning of knowledge: but fools despise wisdom and instruction.
 0.9258,But Allah has full knowledge of what they secrete (in their breasts),"There is a sore evil which I have seen under the sun, namely, riches kept for the owners thereof to their hurt."
 0.9401,"So announce to them a Penalty Grievous,","The one preach Christ of contention, not sincerely, supposing to add affliction to my bonds:"
 0.9429,Except to those who believe and work righteous deeds: For them is a Reward that will never fail.,The fear of the LORD is the beginning of wisdom: a good understanding have all they that do his commandments: his praise endureth for ever.
 0.9216,"By the sky, (displaying) the Zodiacal Signs;","The two tribes and the half tribe have received their inheritance on this side Jordan near Jericho eastward, toward the sunrising."
 0.9335,By the promised Day (of Judgment);,"Behold, I will send you Elijah the prophet before the coming of the great and dreadful day of the LORD:"
 0.9230,"By one that witnesses, and the subject of the witness;-","For if they which are of the law be heirs, faith is made void, and the promise made of none effect:"
 0.9120,"Woe to the makers of the pit (of fire),","Through the wrath of the LORD of hosts is the land darkened, and the people shall be as the fuel of the fire: no man shall spare his brother."
 0.9011,Fire supplied (abundantly) with fuel:,"Gilead is a city of them that work iniquity, and is polluted with blood."
 0.9353,"Behold! they sat over against the (fire),",And sitting down they watched him there;
 0.9324,And they witnessed (all) that they were doing against the Believers.,"And this thing became a sin: for the people went to worship before the one, even unto Dan."
 0.9043,"And they ill-treated them for no other reason than that they believed in Allah, Exalted in Power, Worthy of all Praise!-","For such an high priest became us, who is holy, harmless, undefiled, separate from sinners, and made higher than the heavens;"
 0.9172,Him to Whom belongs the dominion of the heavens and the earth! And Allah is Witness to all things.,And the heavens shall declare his righteousness: for God is judge himself. Selah.
 0.9392,"Those who persecute (or draw into temptation) the Believers, men and women, and do not turn in repentance, will have the Penalty of Hell: They will have the Penalty of the Burning Fire.","As many as desire to make a fair shew in the flesh, they constrain you to be circumcised; only lest they should suffer persecution for the cross of Christ."
 0.9428,"For those who believe and do righteous deeds, will be Gardens; beneath which rivers flow: That is the great Salvation, (the fulfilment of all desires),","The like figure whereunto even baptism doth also now save us (not the putting away of the filth of the flesh, but the answer of a good conscience toward God,) by the resurrection of Jesus Christ:"
 0.9435,Truly strong is the Grip (and Power) of thy Lord.,"The LORD is their strength, and he is the saving strength of his anointed."
 0.9265,"It is He Who creates from the very beginning, and He can restore (life).","In hope of eternal life, which God, that cannot lie, promised before the world began;"
 0.9352,"And He is the Oft-Forgiving, Full of Loving-Kindness,","And God gave Solomon wisdom and understanding exceeding much, and largeness of heart, even as the sand that is on the sea shore."
 0.9296,"Lord of the Throne of Glory,",Sihon king of the Amorites: for his mercy endureth for ever:
 0.9330,Doer (without let) of all that He intends.,But (which becometh women professing godliness) with good works.
 0.9295,"Has the story reached thee, of the forces-","And it was told him by certain which said, Thy mother and thy brethren stand without, desiring to see thee."
 0.9268,Of Pharaoh and the Thamud?,Of Naphtali; Ahira the son of Enan.
 0.9085,And yet the Unbelievers (persist) in rejecting (the Truth)!,For what if some did not believe? shall their unbelief make the faith of God without effect?
 0.9251,But Allah doth encompass them from behind!,"God shall hear, and afflict them, even he that abideth of old. Selah. Because they have no changes, therefore they fear not God."
 0.8844,"Nay, this is a Glorious Qur'an,","Knowing this first, that no prophecy of the scripture is of any private interpretation."
 0.9080,(Inscribed) in a Tablet Preserved!,Darts are counted as stubble: he laugheth at the shaking of a spear.
 0.9278,By the Sky and the Night-Visitant (therein);-,Also by watering he wearieth the thick cloud: he scattereth his bright cloud:
 0.8930,And what will explain to thee what the Night-Visitant is?-,"Pilate then went out unto them, and said, What accusation bring ye against this man?"
 0.8890,(It is) the Star of piercing brightness;-,"The heaven for height, and the earth for depth, and the heart of kings is unsearchable."
 0.9259,There is no soul but has a protector over it.,The things that my soul refused to touch are as my sorrowful meat.
 0.9340,Now let man but think from what he is created!,"Ye shall not do after all the things that we do here this day, every man whatsoever is right in his own eyes."
 0.9339,He is created from a drop emitted-,"Gilead is a city of them that work iniquity, and is polluted with blood."
 0.8595,Proceeding from between the backbone and the ribs:,"Gather the pieces thereof into it, even every good piece, the thigh, and the shoulder; fill it with the choice bones."
 0.9032,Surely (Allah) is able to bring him back (to life)!,But God will redeem my soul from the power of the grave: for he shall receive me. Selah.
 0.9169,"The Day that (all) things secret will be tested,","Knowing this first, that there shall come in the last days scoffers, walking after their own lusts,"
 0.9163,"(Man) will have no power, and no helper.","Now the just shall live by faith: but if any man draw back, my soul shall have no pleasure in him."
 0.9402,"By the Firmament which returns (in its round),","And not holding the Head, from which all the body by joints and bands having nourishment ministered, and knit together, increaseth with the increase of God."
 0.9378,"And by the Earth which opens out (for the gushing of springs or the sprouting of vegetation),-","Who hath divided a watercourse for the overflowing of waters, or a way for the lightning of thunder;"
 0.9317,Behold this is the Word that distinguishes (Good from Evil):,"This is the interpretation of the thing: MENE; God hath numbered thy kingdom, and finished it."
 0.9003,It is not a thing for amusement.,I know it is so of a truth: but how should man be just with God?
 0.9141,"As for them, they are but plotting a scheme,","And the revolters are profound to make slaughter, though I have been a rebuker of them all."
 0.8946,And I am planning a scheme.,I would hasten my escape from the windy storm and tempest.
 0.9456,Therefore grant a delay to the Unbelievers: Give respite to them gently (for awhile).,In meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth;
 0.9272,"Glorify the name of thy Guardian-Lord Most High,","After this manner therefore pray ye: Our Father which art in heaven, Hallowed be thy name."
 0.9375,"Who hath created, and further, given order and proportion;",Wherein he hath abounded toward us in all wisdom and prudence;
 0.9499,Who hath ordained laws. And granted guidance;,Wherein he hath abounded toward us in all wisdom and prudence;
 0.9450,"And Who bringeth out the (green and luscious) pasture,",To satisfy the desolate and waste ground; and to cause the bud of the tender herb to spring forth?
 0.9261,And then doth make it (but) swarthy stubble.,The north wind driveth away rain: so doth an angry countenance a backbiting tongue.
 0.9441,"By degrees shall We teach thee to declare (the Message), so thou shalt not forget,","Put me in remembrance: let us plead together: declare thou, that thou mayest be justified."
 0.8966,Except as Allah wills: For He knoweth what is manifest and what is hidden.,But know that the LORD hath set apart him that is godly for himself: the LORD will hear when I call unto him.
 0.9173,And We will make it easy for thee (to follow) the simple (Path).,And I will walk at liberty: for I seek thy precepts.
 0.9416,Therefore give admonition in case the admonition profits (the hearer).,A man that is an heretick after the first and second admonition reject;
 0.9068,The admonition will be received by those who fear (Allah):,A man that is an heretick after the first and second admonition reject;
 0.9126,"But it will be avoided by those most unfortunate ones,","They die in youth, and their life is among the unclean."
 0.9268,"Who will enter the Great Fire,","He will deliver his soul from going into the pit, and his life shall see the light."
 0.9218,In which they will then neither die nor live.,"But if they obey not, they shall perish by the sword, and they shall die without knowledge."
 0.9178,"But those will prosper who purify themselves,",Pray for the peace of Jerusalem: they shall prosper that love thee.
 0.9463,"And glorify the name of their Guardian-Lord, and (lift their hearts) in prayer.",Glory ye in his holy name: let the heart of them rejoice that seek the LORD.
 0.9451,"Nay (behold), ye prefer the life of this world;","Again, the kingdom of heaven is like unto a merchant man, seeking goodly pearls:"
 0.8884,But the Hereafter is better and more enduring.,Nevertheless to abide in the flesh is more needful for you.
 0.9273,"And this is in the Books of the earliest (Revelation),-","Now the rest of the acts of Hezekiah, and his goodness, behold, they are written in the vision of Isaiah the prophet, the son of Amoz, and in the book of the kings of Judah and Israel."
 0.9029,The Books of Abraham and Moses.,"And the rest of the acts of Zachariah, behold, they are written in the book of the chronicles of the kings of Israel."
 0.9223,Has the story reached thee of the overwhelming (Event)?,I have seen an end of all perfection: but thy commandment is exceeding broad.
 0.9265,"Some faces, that Day, will be humiliated,",Before their face the people shall be much pained: all faces shall gather blackness.
 0.9039,"Labouring (hard), weary,-","Without natural affection, trucebreakers, false accusers, incontinent, fierce, despisers of those that are good,"
 0.9269,"The while they enter the Blazing Fire,-","My heart was hot within me, while I was musing the fire burned: then spake I with my tongue,"
 0.9274,"The while they are given, to drink, of a boiling hot spring,","He clave the rocks in the wilderness, and gave them drink as out of the great depths."
 0.9335,No food will there be for them but a bitter Dhari',"Better is a dinner of herbs where love is, than a stalled ox and hatred therewith."
 0.8888,Which will neither nourish nor satisfy hunger.,"For I have satiated the weary soul, and I have replenished every sorrowful soul."
 0.9333,"(Other) faces that Day will be joyful,","Redeeming the time, because the days are evil."
 0.9132,"Pleased with their striving,-",While they behold your chaste conversation coupled with fear.
 0.9161,"In a Garden on high,","Again, the kingdom of heaven is like unto a merchant man, seeking goodly pearls:"
 0.9440,Where they shall hear no (word) of vanity:,"Now the just shall live by faith: but if any man draw back, my soul shall have no pleasure in him."
 0.9260,Therein will be a bubbling spring:,"I made me pools of water, to water therewith the wood that bringeth forth trees:"
 0.9245,"Therein will be Thrones (of dignity), raised on high,","Upon the land of my people shall come up thorns and briers; yea, upon all the houses of joy in the joyous city:"
 0.8914,"Goblets placed (ready),","Stolen waters are sweet, and bread eaten in secret is pleasant."
 0.9265,"And cushions set in rows,","And he made the court: on the south side southward the hangings of the court were of fine twined linen, an hundred cubits:"
 0.9178,And rich carpets (all) spread out.,And the fame hereof went abroad into all that land.
 0.9061,"Do they not look at the Camels, how they are made?-","Why, seeing times are not hidden from the Almighty, do they that know him not see his days?"
 0.9252,"And at the Sky, how it is raised high?-","Is not God in the height of heaven? and behold the height of the stars, how high they are!"
 0.9179,"And at the Mountains, how they are fixed firm?-",When he established the clouds above: when he strengthened the fountains of the deep:
 0.9106,"And at the Earth, how it is spread out?",How are the things of Esau searched out! how are his hidden things sought up!
 0.9174,"Therefore do thou give admonition, for thou art one to admonish.","And ye have forgotten the exhortation which speaketh unto you as unto children, My son, despise not thou the chastening of the Lord, nor faint when thou art rebuked of him:"
 0.9128,Thou art not one to manage (men's) affairs.,"Be not thou envious against evil men, neither desire to be with them."
 0.9286,"But if any turn away and reject Allah,-","Brethren, if any of you do err from the truth, and one convert him;"
 0.9094,"Allah will punish him with a mighty Punishment,",The princes of Judah were like them that remove the bound: therefore I will pour out my wrath upon them like water.
 0.9385,For to Us will be their return;,"Nevertheless when it shall turn to the Lord, the vail shall be taken away."
 0.8980,Then it will be for Us to call them to account.,"And they made signs to his father, how he would have him called."
 0.8823,By the break of Day,So the people rested on the seventh day.
 0.9328,By the Nights twice five;,"By long forbearing is a prince persuaded, and a soft tongue breaketh the bone."
 0.9299,By the even and odd (contrasted);,"By long forbearing is a prince persuaded, and a soft tongue breaketh the bone."
 0.9223,And by the Night when it passeth away;-,As the cloud is consumed and vanisheth away: so he that goeth down to the grave shall come up no more.
 0.9180,Is there (not) in these an adjuration (or evidence) for those who understand?,I know it is so of a truth: but how should man be just with God?
 0.9417,"Seest thou not how thy Lord dealt with the 'Ad (people),-","God hath not cast away his people which he foreknew. Wot ye not what the scripture saith of Elias? how he maketh intercession to God against Israel saying,"
 0.9015,"Of the (city of) Iram, with lofty pillars,","And the south, and the plain of the valley of Jericho, the city of palm trees, unto Zoar."
 0.9311,The like of which were not produced in (all) the land?,Which all are to perish with the using;) after the commandments and doctrines of men?
 0.9286,"And with the Thamud (people), who cut out (huge) rocks in the valley?-",Zebulun and Naphtali were a people that jeoparded their lives unto the death in the high places of the field.
 0.9272,"And with Pharaoh, lord of stakes?",And also Solomon sitteth on the throne of the kingdom.
 0.9404,"(All) these transgressed beyond bounds in the lands,",Which all are to perish with the using;) after the commandments and doctrines of men?
 0.9175,And heaped therein mischief (on mischief).,They draw nigh that follow after mischief: they are far from thy law.
 0.9401,Therefore did thy Lord pour on them a scourge of diverse chastisements:,"Thus saith the LORD; For three transgressions of Damascus, and for four, I will not turn away the punishment thereof; because they have threshed Gilead with threshing instruments of iron:"
 0.9282,For thy Lord is (as a Guardian) on a watch-tower.,"Ye also, as lively stones, are built up a spiritual house, an holy priesthood, to offer up spiritual sacrifices, acceptable to God by Jesus Christ."
 0.9205,"Now, as for man, when his Lord trieth him, giving him honour and gifts, then saith he, (puffed up), ""My Lord hath honoured me.""","And when he cometh home, he calleth together his friends and neighbours, saying unto them, Rejoice with me; for I have found my sheep which was lost."
 0.9405,"But when He trieth him, restricting his subsistence for him, then saith he (in despair), ""My Lord hath humiliated me!""","And the residue thereof he maketh a god, even his graven image: he falleth down unto it, and worshippeth it, and prayeth unto it, and saith, Deliver me; for thou art my god."
 0.9343,"Nay, nay! but ye honour not the orphans!","Yea, they despised the pleasant land, they believed not his word:"
 0.8996,Nor do ye encourage one another to feed the poor!-,"Ye stand upon your sword, ye work abomination, and ye defile every one his neighbour's wife: and shall ye possess the land?"
 0.9285,"And ye devour inheritance - all with greed,","Ye stand upon your sword, ye work abomination, and ye defile every one his neighbour's wife: and shall ye possess the land?"
 0.9305,And ye love wealth with inordinate love!,"Wherefore we receiving a kingdom which cannot be moved, let us have grace, whereby we may serve God acceptably with reverence and godly fear:"
 0.9240,"Nay! When the earth is pounded to powder,","Moab is confounded; for it is broken down: howl and cry; tell ye it in Arnon, that Moab is spoiled,"
 0.9437,"And thy Lord cometh, and His angels, rank upon rank,","And unto the angel of the church in Thyatira write; These things saith the Son of God, who hath his eyes like unto a flame of fire, and his feet are like fine brass;"
 0.9266,"And Hell, that Day, is brought (face to face),- on that Day will man remember, but how will that remembrance profit him?","And he said, Behold, I will make thee know what shall be in the last end of the indignation: for at the time appointed the end shall be."
 0.9088,"He will say: ""Ah! Would that I had sent forth (good deeds) for (this) my (Future) Life!""","Howbeit I will not take the whole kingdom out of his hand: but I will make him prince all the days of his life for David my servant's sake, whom I chose, because he kept my commandments and my statutes:"
 0.9358,"For, that Day, His Chastisement will be such as none (else) can inflict,",And they shall bear the punishment of their iniquity: the punishment of the prophet shall be even as the punishment of him that seeketh unto him;
 0.9363,And His bonds will be such as none (other) can bind.,"Now the just shall live by faith: but if any man draw back, my soul shall have no pleasure in him."
 0.9287,"(To the righteous soul will be said:) ""O (thou) soul, in (complete) rest and satisfaction!","But the righteousness which is of faith speaketh on this wise, Say not in thine heart, Who shall ascend into heaven? (that is, to bring Christ down from above:)"
 0.9370,"""Come back thou to thy Lord,- well pleased (thyself), and well-pleasing unto Him!","Hearken now unto my voice, I will give thee counsel, and God shall be with thee: Be thou for the people to God-ward, that thou mayest bring the causes unto God:"
 0.9146,"""Enter thou, then, among My devotees!","Now therefore, my son, obey my voice; arise, flee thou to Laban my brother to Haran;"
 0.9292,"""Yea, enter thou My Heaven!","Yea, thou shalt see thy children's children, and peace upon Israel."
 0.9269,I do call to witness this City;-,Not for any injustice in mine hands: also my prayer is pure.
 0.8784,And thou art a freeman of this City;-,"And Abram said, Behold, to me thou hast given no seed: and, lo, one born in my house is mine heir."
 0.9016,And (the mystic ties of) parent and child;-,"Which things are an allegory: for these are the two covenants; the one from the mount Sinai, which gendereth to bondage, which is Agar."
 0.9264,Verily We have created man into toil and struggle.,"Yet man is born unto trouble, as the sparks fly upward."
 0.9441,"Thinketh he, that none hath power over him?","Behold, he findeth occasions against me, he counteth me for his enemy,"
 0.9352,He may say (boastfully); Wealth have I squandered in abundance!,"In that day shall one take up a parable against you, and lament with a doleful lamentation, and say, We be utterly spoiled: he hath changed the portion of my people: how hath he removed it from me! turning away he hath divided our fields."
 0.9518,Thinketh he that none beholdeth him?,This persuasion cometh not of him that calleth you.
 0.9119,Have We not made for him a pair of eyes?-,"Who hath formed a god, or molten a graven image that is profitable for nothing?"
 0.8934,"And a tongue, and a pair of lips?-","A proud look, a lying tongue, and hands that shed innocent blood,"
 0.9112,And shown him the two highways?,Peter then denied again: and immediately the cock crew.
 0.8838,But he hath made no haste on the path that is steep.,But now he hath made me weary: thou hast made desolate all my company.
 0.9142,And what will explain to thee the path that is steep?-,"What profit is there in my blood, when I go down to the pit? Shall the dust praise thee? shall it declare thy truth?"
 0.9177,(It is:) freeing the bondman;,Issachar is a strong ass couching down between two burdens:
 0.9265,Or the giving of food in a day of privation,Distributing to the necessity of saints; given to hospitality.
 0.9361,"To the orphan with claims of relationship,","I wisdom dwell with prudence, and find out knowledge of witty inventions."
