 1.0000,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.
 1.0000,And the name of the daughter of Asher was Sarah.,And the name of the daughter of Asher was Sarah.
 1.0000,These are the families of the sons of Asher according to those that were numbered of them; who were fifty and three thousand and four hundred.,These are the families of the sons of Asher according to those that were numbered of them; who were fifty and three thousand and four hundred.
 1.0000,"Of the sons of Naphtali after their families: of Jahzeel, the family of the Jahzeelites: of Guni, the family of the Gunites:","Of the sons of Naphtali after their families: of Jahzeel, the family of the Jahzeelites: of Guni, the family of the Gunites:"
 1.0000,"Of Jezer, the family of the Jezerites: of Shillem, the family of the Shillemites.","Of Jezer, the family of the Jezerites: of Shillem, the family of the Shillemites."
 1.0000,These are the families of Naphtali according to their families: and they that were numbered of them were forty and five thousand and four hundred.,These are the families of Naphtali according to their families: and they that were numbered of them were forty and five thousand and four hundred.
 1.0000,"These were the numbered of the children of Israel, six hundred thousand and a thousand seven hundred and thirty.","These were the numbered of the children of Israel, six hundred thousand and a thousand seven hundred and thirty."
 1.0000,"And the LORD spake unto Moses, saying,","And the LORD spake unto Moses, saying,"
 1.0000,Unto these the land shall be divided for an inheritance according to the number of names.,Unto these the land shall be divided for an inheritance according to the number of names.
 1.0000,"To many thou shalt give the more inheritance, and to few thou shalt give the less inheritance: to every one shall his inheritance be given according to those that were numbered of him.","To many thou shalt give the more inheritance, and to few thou shalt give the less inheritance: to every one shall his inheritance be given according to those that were numbered of him."
 1.0000,Notwithstanding the land shall be divided by lot: according to the names of the tribes of their fathers they shall inherit.,Notwithstanding the land shall be divided by lot: according to the names of the tribes of their fathers they shall inherit.
 1.0000,According to the lot shall the possession thereof be divided between many and few.,According to the lot shall the possession thereof be divided between many and few.
 1.0000,"And these are they that were numbered of the Levites after their families: of Gershon, the family of the Gershonites: of Kohath, the family of the Kohathites: of Merari, the family of the Merarites.","And these are they that were numbered of the Levites after their families: of Gershon, the family of the Gershonites: of Kohath, the family of the Kohathites: of Merari, the family of the Merarites."
 1.0000,"These are the families of the Levites: the family of the Libnites, the family of the Hebronites, the family of the Mahlites, the family of the Mushites, the family of the Korathites. And Kohath begat Amram.","These are the families of the Levites: the family of the Libnites, the family of the Hebronites, the family of the Mahlites, the family of the Mushites, the family of the Korathites. And Kohath begat Amram."
 1.0000,"And the name of Amram's wife was Jochebed, the daughter of Levi, whom her mother bare to Levi in Egypt: and she bare unto Amram Aaron and Moses, and Miriam their sister.","And the name of Amram's wife was Jochebed, the daughter of Levi, whom her mother bare to Levi in Egypt: and she bare unto Amram Aaron and Moses, and Miriam their sister."
 1.0000,"And unto Aaron was born Nadab, and Abihu, Eleazar, and Ithamar.","And unto Aaron was born Nadab, and Abihu, Eleazar, and Ithamar."
 1.0000,"And Nadab and Abihu died, when they offered strange fire before the LORD.","And Nadab and Abihu died, when they offered strange fire before the LORD."
 1.0000,"And those that were numbered of them were twenty and three thousand, all males from a month old and upward: for they were not numbered among the children of Israel, because there was no inheritance given them among the children of Israel.","And those that were numbered of them were twenty and three thousand, all males from a month old and upward: for they were not numbered among the children of Israel, because there was no inheritance given them among the children of Israel."
 1.0000,"These are they that were numbered by Moses and Eleazar the priest, who numbered the children of Israel in the plains of Moab by Jordan near Jericho.","These are they that were numbered by Moses and Eleazar the priest, who numbered the children of Israel in the plains of Moab by Jordan near Jericho."
 1.0000,"But among these there was not a man of them whom Moses and Aaron the priest numbered, when they numbered the children of Israel in the wilderness of Sinai.","But among these there was not a man of them whom Moses and Aaron the priest numbered, when they numbered the children of Israel in the wilderness of Sinai."
 1.0000,"For the LORD had said of them, They shall surely die in the wilderness. And there was not left a man of them, save Caleb the son of Jephunneh, and Joshua the son of Nun.","For the LORD had said of them, They shall surely die in the wilderness. And there was not left a man of them, save Caleb the son of Jephunneh, and Joshua the son of Nun."
 1.0000,"Then came the daughters of Zelophehad, the son of Hepher, the son of Gilead, the son of Machir, the son of Manasseh, of the families of Manasseh the son of Joseph: and these are the names of his daughters; Mahlah, Noah, and Hoglah, and Milcah, and Tirzah.","Then came the daughters of Zelophehad, the son of Hepher, the son of Gilead, the son of Machir, the son of Manasseh, of the families of Manasseh the son of Joseph: and these are the names of his daughters; Mahlah, Noah, and Hoglah, and Milcah, and Tirzah."
 1.0000,"And they stood before Moses, and before Eleazar the priest, and before the princes and all the congregation, by the door of the tabernacle of the congregation, saying,","And they stood before Moses, and before Eleazar the priest, and before the princes and all the congregation, by the door of the tabernacle of the congregation, saying,"
 1.0000,"Our father died in the wilderness, and he was not in the company of them that gathered themselves together against the LORD in the company of Korah; but died in his own sin, and had no sons.","Our father died in the wilderness, and he was not in the company of them that gathered themselves together against the LORD in the company of Korah; but died in his own sin, and had no sons."
 1.0000,"Why should the name of our father be done away from among his family, because he hath no son? Give unto us therefore a possession among the brethren of our father.","Why should the name of our father be done away from among his family, because he hath no son? Give unto us therefore a possession among the brethren of our father."
 1.0000,And Moses brought their cause before the LORD.,And Moses brought their cause before the LORD.
 1.0000,"And the LORD spake unto Moses, saying,","And the LORD spake unto Moses, saying,"
 1.0000,The daughters of Zelophehad speak right: thou shalt surely give them a possession of an inheritance among their father's brethren; and thou shalt cause the inheritance of their father to pass unto them.,The daughters of Zelophehad speak right: thou shalt surely give them a possession of an inheritance among their father's brethren; and thou shalt cause the inheritance of their father to pass unto them.
 1.0000,"And thou shalt speak unto the children of Israel, saying, If a man die, and have no son, then ye shall cause his inheritance to pass unto his daughter.","And thou shalt speak unto the children of Israel, saying, If a man die, and have no son, then ye shall cause his inheritance to pass unto his daughter."
 1.0000,"And if he have no daughter, then ye shall give his inheritance unto his brethren.","And if he have no daughter, then ye shall give his inheritance unto his brethren."
 1.0000,"And if he have no brethren, then ye shall give his inheritance unto his father's brethren.","And if he have no brethren, then ye shall give his inheritance unto his father's brethren."
 1.0000,"And if his father have no brethren, then ye shall give his inheritance unto his kinsman that is next to him of his family, and he shall possess it: and it shall be unto the children of Israel a statute of judgment, as the LORD commanded Moses.","And if his father have no brethren, then ye shall give his inheritance unto his kinsman that is next to him of his family, and he shall possess it: and it shall be unto the children of Israel a statute of judgment, as the LORD commanded Moses."
 1.0000,"And the LORD said unto Moses, Get thee up into this mount Abarim, and see the land which I have given unto the children of Israel.","And the LORD said unto Moses, Get thee up into this mount Abarim, and see the land which I have given unto the children of Israel."
 1.0000,"And when thou hast seen it, thou also shalt be gathered unto thy people, as Aaron thy brother was gathered.","And when thou hast seen it, thou also shalt be gathered unto thy people, as Aaron thy brother was gathered."
 1.0000,"For ye rebelled against my commandment in the desert of Zin, in the strife of the congregation, to sanctify me at the water before their eyes: that is the water of Meribah in Kadesh in the wilderness of Zin.","For ye rebelled against my commandment in the desert of Zin, in the strife of the congregation, to sanctify me at the water before their eyes: that is the water of Meribah in Kadesh in the wilderness of Zin."
 1.0000,"And Moses spake unto the LORD, saying,","And Moses spake unto the LORD, saying,"
 1.0000,"Let the LORD, the God of the spirits of all flesh, set a man over the congregation,","Let the LORD, the God of the spirits of all flesh, set a man over the congregation,"
 1.0000,"Which may go out before them, and which may go in before them, and which may lead them out, and which may bring them in; that the congregation of the LORD be not as sheep which have no shepherd.","Which may go out before them, and which may go in before them, and which may lead them out, and which may bring them in; that the congregation of the LORD be not as sheep which have no shepherd."
 1.0000,"And the LORD said unto Moses, Take thee Joshua the son of Nun, a man in whom is the spirit, and lay thine hand upon him;","And the LORD said unto Moses, Take thee Joshua the son of Nun, a man in whom is the spirit, and lay thine hand upon him;"
 1.0000,"And set him before Eleazar the priest, and before all the congregation; and give him a charge in their sight.","And set him before Eleazar the priest, and before all the congregation; and give him a charge in their sight."
 1.0000,"And thou shalt put some of thine honor upon him, that all the congregation of the children of Israel may be obedient.","And thou shalt put some of thine honor upon him, that all the congregation of the children of Israel may be obedient."
 1.0000,"And he shall stand before Eleazar the priest, who shall ask counsel for him after the judgment of Urim before the LORD: at his word shall they go out, and at his word they shall come in, both he, and all the children of Israel with him, even all the congregation.","And he shall stand before Eleazar the priest, who shall ask counsel for him after the judgment of Urim before the LORD: at his word shall they go out, and at his word they shall come in, both he, and all the children of Israel with him, even all the congregation."
 1.0000,"And Moses did as the LORD commanded him: and he took Joshua, and set him before Eleazar the priest, and before all the congregation:","And Moses did as the LORD commanded him: and he took Joshua, and set him before Eleazar the priest, and before all the congregation:"
 1.0000,"And he laid his hands upon him, and gave him a charge, as the LORD commanded by the hand of Moses.","And he laid his hands upon him, and gave him a charge, as the LORD commanded by the hand of Moses."
 1.0000,"And the LORD spake unto Moses, saying,","And the LORD spake unto Moses, saying,"
 1.0000,"Command the children of Israel, and say unto them, My offering, and my bread for my sacrifices made by fire, for a sweet savor unto me, shall ye observe to offer unto me in their due season.","Command the children of Israel, and say unto them, My offering, and my bread for my sacrifices made by fire, for a sweet savor unto me, shall ye observe to offer unto me in their due season."
 1.0000,"And thou shalt say unto them, This is the offering made by fire which ye shall offer unto the LORD; two lambs of the first year without spot day by day, for a continual burnt offering.","And thou shalt say unto them, This is the offering made by fire which ye shall offer unto the LORD; two lambs of the first year without spot day by day, for a continual burnt offering."
 1.0000,"The one lamb shalt thou offer in the morning, and the other lamb shalt thou offer at even;","The one lamb shalt thou offer in the morning, and the other lamb shalt thou offer at even;"
 1.0000,"And a tenth part of an ephah of flour for a meat offering, mingled with the fourth part of an hin of beaten oil.","And a tenth part of an ephah of flour for a meat offering, mingled with the fourth part of an hin of beaten oil."
 1.0000,"It is a continual burnt offering, which was ordained in mount Sinai for a sweet savor, a sacrifice made by fire unto the LORD.","It is a continual burnt offering, which was ordained in mount Sinai for a sweet savor, a sacrifice made by fire unto the LORD."
 1.0000,And the drink offering thereof shall be the fourth part of an hin for the one lamb: in the holy place shalt thou cause the strong wine to be poured unto the LORD for a drink offering.,And the drink offering thereof shall be the fourth part of an hin for the one lamb: in the holy place shalt thou cause the strong wine to be poured unto the LORD for a drink offering.
 1.0000,"And the other lamb shalt thou offer at even: as the meat offering of the morning, and as the drink offering thereof, thou shalt offer it, a sacrifice made by fire, of a sweet savor unto the LORD.","And the other lamb shalt thou offer at even: as the meat offering of the morning, and as the drink offering thereof, thou shalt offer it, a sacrifice made by fire, of a sweet savor unto the LORD."
 1.0000,"And on the sabbath day two lambs of the first year without spot, and two tenth deals of flour for a meat offering, mingled with oil, and the drink offering thereof:","And on the sabbath day two lambs of the first year without spot, and two tenth deals of flour for a meat offering, mingled with oil, and the drink offering thereof:"
 1.0000,"This is the burnt offering of every sabbath, beside the continual burnt offering, and his drink offering.","This is the burnt offering of every sabbath, beside the continual burnt offering, and his drink offering."
 1.0000,"And in the beginnings of your months ye shall offer a burnt offering unto the LORD; two young bullocks, and one ram, seven lambs of the first year without spot;","And in the beginnings of your months ye shall offer a burnt offering unto the LORD; two young bullocks, and one ram, seven lambs of the first year without spot;"
 1.0000,"And three tenth deals of flour for a meat offering, mingled with oil, for one bullock; and two tenth deals of flour for a meat offering, mingled with oil, for one ram;","And three tenth deals of flour for a meat offering, mingled with oil, for one bullock; and two tenth deals of flour for a meat offering, mingled with oil, for one ram;"
 1.0000,"And a several tenth deal of flour mingled with oil for a meat offering unto one lamb; for a burnt offering of a sweet savor, a sacrifice made by fire unto the LORD.","And a several tenth deal of flour mingled with oil for a meat offering unto one lamb; for a burnt offering of a sweet savor, a sacrifice made by fire unto the LORD."
 1.0000,"And their drink offerings shall be half an hin of wine unto a bullock, and the third part of an hin unto a ram, and a fourth part of an hin unto a lamb: this is the burnt offering of every month throughout the months of the year.","And their drink offerings shall be half an hin of wine unto a bullock, and the third part of an hin unto a ram, and a fourth part of an hin unto a lamb: this is the burnt offering of every month throughout the months of the year."
 1.0000,"And one kid of the goats for a sin offering unto the LORD shall be offered, beside the continual burnt offering, and his drink offering.","And one kid of the goats for a sin offering unto the LORD shall be offered, beside the continual burnt offering, and his drink offering."
 1.0000,And in the fourteenth day of the first month is the passover of the LORD.,And in the fourteenth day of the first month is the passover of the LORD.
 1.0000,And in the fifteenth day of this month is the feast: seven days shall unleavened bread be eaten.,And in the fifteenth day of this month is the feast: seven days shall unleavened bread be eaten.
 1.0000,In the first day shall be an holy convocation; ye shall do no manner of servile work therein:,In the first day shall be an holy convocation; ye shall do no manner of servile work therein:
 1.0000,"But ye shall offer a sacrifice made by fire for a burnt offering unto the LORD; two young bullocks, and one ram, and seven lambs of the first year: they shall be unto you without blemish:","But ye shall offer a sacrifice made by fire for a burnt offering unto the LORD; two young bullocks, and one ram, and seven lambs of the first year: they shall be unto you without blemish:"
 1.0000,"And their meat offering shall be of flour mingled with oil: three tenth deals shall ye offer for a bullock, and two tenth deals for a ram;","And their meat offering shall be of flour mingled with oil: three tenth deals shall ye offer for a bullock, and two tenth deals for a ram;"
 1.0000,"A several tenth deal shalt thou offer for every lamb, throughout the seven lambs:","A several tenth deal shalt thou offer for every lamb, throughout the seven lambs:"
 1.0000,"And one goat for a sin offering, to make an atonement for you.","And one goat for a sin offering, to make an atonement for you."
 1.0000,"Ye shall offer these beside the burnt offering in the morning, which is for a continual burnt offering.","Ye shall offer these beside the burnt offering in the morning, which is for a continual burnt offering."
 1.0000,"After this manner ye shall offer daily, throughout the seven days, the meat of the sacrifice made by fire, of a sweet savor unto the LORD: it shall be offered beside the continual burnt offering, and his drink offering.","After this manner ye shall offer daily, throughout the seven days, the meat of the sacrifice made by fire, of a sweet savor unto the LORD: it shall be offered beside the continual burnt offering, and his drink offering."
 1.0000,And on the seventh day ye shall have an holy convocation; ye shall do no servile work.,And on the seventh day ye shall have an holy convocation; ye shall do no servile work.
 1.0000,"Also in the day of the firstfruits, when ye bring a new meat offering unto the LORD, after your weeks be out, ye shall have an holy convocation; ye shall do no servile work:","Also in the day of the firstfruits, when ye bring a new meat offering unto the LORD, after your weeks be out, ye shall have an holy convocation; ye shall do no servile work:"
 1.0000,"But ye shall offer the burnt offering for a sweet savor unto the LORD; two young bullocks, one ram, seven lambs of the first year;","But ye shall offer the burnt offering for a sweet savor unto the LORD; two young bullocks, one ram, seven lambs of the first year;"
 1.0000,"And their meat offering of flour mingled with oil, three tenth deals unto one bullock, two tenth deals unto one ram,","And their meat offering of flour mingled with oil, three tenth deals unto one bullock, two tenth deals unto one ram,"
 1.0000,"A several tenth deal unto one lamb, throughout the seven lambs;","A several tenth deal unto one lamb, throughout the seven lambs;"
 1.0000,"And one kid of the goats, to make an atonement for you.","And one kid of the goats, to make an atonement for you."
 1.0000,"Ye shall offer them beside the continual burnt offering, and his meat offering, (they shall be unto you without blemish) and their drink offerings.","Ye shall offer them beside the continual burnt offering, and his meat offering, (they shall be unto you without blemish) and their drink offerings."
 1.0000,"And in the seventh month, on the first day of the month, ye shall have an holy convocation; ye shall do no servile work: it is a day of blowing the trumpets unto you.","And in the seventh month, on the first day of the month, ye shall have an holy convocation; ye shall do no servile work: it is a day of blowing the trumpets unto you."
 1.0000,"And ye shall offer a burnt offering for a sweet savor unto the LORD; one young bullock, one ram, and seven lambs of the first year without blemish:","And ye shall offer a burnt offering for a sweet savor unto the LORD; one young bullock, one ram, and seven lambs of the first year without blemish:"
 1.0000,"And their meat offering shall be of flour mingled with oil, three tenth deals for a bullock, and two tenth deals for a ram,","And their meat offering shall be of flour mingled with oil, three tenth deals for a bullock, and two tenth deals for a ram,"
 1.0000,"And one tenth deal for one lamb, throughout the seven lambs:","And one tenth deal for one lamb, throughout the seven lambs:"
 1.0000,"And one kid of the goats for a sin offering, to make an atonement for you:","And one kid of the goats for a sin offering, to make an atonement for you:"
 1.0000,"Beside the burnt offering of the month, and his meat offering, and the daily burnt offering, and his meat offering, and their drink offerings, according unto their manner, for a sweet savor, a sacrifice made by fire unto the LORD.","Beside the burnt offering of the month, and his meat offering, and the daily burnt offering, and his meat offering, and their drink offerings, according unto their manner, for a sweet savor, a sacrifice made by fire unto the LORD."
 1.0000,And ye shall have on the tenth day of this seventh month an holy convocation; and ye shall afflict your souls: ye shall not do any work therein:,And ye shall have on the tenth day of this seventh month an holy convocation; and ye shall afflict your souls: ye shall not do any work therein:
 1.0000,"But ye shall offer a burnt offering unto the LORD for a sweet savor; one young bullock, one ram, and seven lambs of the first year; they shall be unto you without blemish:","But ye shall offer a burnt offering unto the LORD for a sweet savor; one young bullock, one ram, and seven lambs of the first year; they shall be unto you without blemish:"
 1.0000,"And their meat offering shall be of flour mingled with oil, three tenth deals to a bullock, and two tenth deals to one ram,","And their meat offering shall be of flour mingled with oil, three tenth deals to a bullock, and two tenth deals to one ram,"
 1.0000,"A several tenth deal for one lamb, throughout the seven lambs:","A several tenth deal for one lamb, throughout the seven lambs:"
 1.0000,"One kid of the goats for a sin offering; beside the sin offering of atonement, and the continual burnt offering, and the meat offering of it, and their drink offerings.","One kid of the goats for a sin offering; beside the sin offering of atonement, and the continual burnt offering, and the meat offering of it, and their drink offerings."
 1.0000,"And on the fifteenth day of the seventh month ye shall have an holy convocation; ye shall do no servile work, and ye shall keep a feast unto the LORD seven days:","And on the fifteenth day of the seventh month ye shall have an holy convocation; ye shall do no servile work, and ye shall keep a feast unto the LORD seven days:"
 1.0000,"And ye shall offer a burnt offering, a sacrifice made by fire, of a sweet savor unto the LORD; thirteen young bullocks, two rams, and fourteen lambs of the first year; they shall be without blemish:","And ye shall offer a burnt offering, a sacrifice made by fire, of a sweet savor unto the LORD; thirteen young bullocks, two rams, and fourteen lambs of the first year; they shall be without blemish:"
 1.0000,"And their meat offering shall be of flour mingled with oil, three tenth deals unto every bullock of the thirteen bullocks, two tenth deals to each ram of the two rams,","And their meat offering shall be of flour mingled with oil, three tenth deals unto every bullock of the thirteen bullocks, two tenth deals to each ram of the two rams,"
 1.0000,And a several tenth deal to each lamb of the fourteen lambs:,And a several tenth deal to each lamb of the fourteen lambs:
 1.0000,"And one kid of the goats for a sin offering; beside the continual burnt offering, his meat offering, and his drink offering.","And one kid of the goats for a sin offering; beside the continual burnt offering, his meat offering, and his drink offering."
 1.0000,"And on the second day ye shall offer twelve young bullocks, two rams, fourteen lambs of the first year without spot:","And on the second day ye shall offer twelve young bullocks, two rams, fourteen lambs of the first year without spot:"
 1.0000,"And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:","And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:"
 1.0000,"And one kid of the goats for a sin offering; beside the continual burnt offering, and the meat offering thereof, and their drink offerings.","And one kid of the goats for a sin offering; beside the continual burnt offering, and the meat offering thereof, and their drink offerings."
 1.0000,"And on the third day eleven bullocks, two rams, fourteen lambs of the first year without blemish;","And on the third day eleven bullocks, two rams, fourteen lambs of the first year without blemish;"
 1.0000,"And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:","And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:"
 1.0000,"And one goat for a sin offering; beside the continual burnt offering, and his meat offering, and his drink offering.","And one goat for a sin offering; beside the continual burnt offering, and his meat offering, and his drink offering."
 1.0000,"And on the fourth day ten bullocks, two rams, and fourteen lambs of the first year without blemish:","And on the fourth day ten bullocks, two rams, and fourteen lambs of the first year without blemish:"
 1.0000,"Their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:","Their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:"
 1.0000,"And one kid of the goats for a sin offering; beside the continual burnt offering, his meat offering, and his drink offering.","And one kid of the goats for a sin offering; beside the continual burnt offering, his meat offering, and his drink offering."
 1.0000,"And on the fifth day nine bullocks, two rams, and fourteen lambs of the first year without spot:","And on the fifth day nine bullocks, two rams, and fourteen lambs of the first year without spot:"
 1.0000,"And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:","And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:"
 1.0000,"And one goat for a sin offering; beside the continual burnt offering, and his meat offering, and his drink offering.","And one goat for a sin offering; beside the continual burnt offering, and his meat offering, and his drink offering."
 1.0000,"And on the sixth day eight bullocks, two rams, and fourteen lambs of the first year without blemish:","And on the sixth day eight bullocks, two rams, and fourteen lambs of the first year without blemish:"
 1.0000,"And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:","And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:"
 1.0000,"And one goat for a sin offering; beside the continual burnt offering, his meat offering, and his drink offering.","And one goat for a sin offering; beside the continual burnt offering, his meat offering, and his drink offering."
 1.0000,"And on the seventh day seven bullocks, two rams, and fourteen lambs of the first year without blemish:","And on the seventh day seven bullocks, two rams, and fourteen lambs of the first year without blemish:"
 1.0000,"And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:","And their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:"
 1.0000,"And one goat for a sin offering; beside the continual burnt offering, his meat offering, and his drink offering.","And one goat for a sin offering; beside the continual burnt offering, his meat offering, and his drink offering."
 1.0000,On the eighth day ye shall have a solemn assembly: ye shall do no servile work therein:,On the eighth day ye shall have a solemn assembly: ye shall do no servile work therein:
 1.0000,"But ye shall offer a burnt offering, a sacrifice made by fire, of a sweet savor unto the LORD: one bullock, one ram, seven lambs of the first year without blemish:","But ye shall offer a burnt offering, a sacrifice made by fire, of a sweet savor unto the LORD: one bullock, one ram, seven lambs of the first year without blemish:"
 1.0000,"Their meat offering and their drink offerings for the bullock, for the ram, and for the lambs, shall be according to their number, after the manner:","Their meat offering and their drink offerings for the bullock, for the ram, and for the lambs, shall be according to their number, after the manner:"
 1.0000,"And one goat for a sin offering; beside the continual burnt offering, and his meat offering, and his drink offering.","And one goat for a sin offering; beside the continual burnt offering, and his meat offering, and his drink offering."
 1.0000,"These things ye shall do unto the LORD in your set feasts, beside your vows, and your freewill offerings, for your burnt offerings, and for your meat offerings, and for your drink offerings, and for your peace offerings.","These things ye shall do unto the LORD in your set feasts, beside your vows, and your freewill offerings, for your burnt offerings, and for your meat offerings, and for your drink offerings, and for your peace offerings."
 1.0000,And Moses told the children of Israel according to all that the LORD commanded Moses.,And Moses told the children of Israel according to all that the LORD commanded Moses.
 1.0000,"And Moses spake unto the heads of the tribes concerning the children of Israel, saying, This is the thing which the LORD hath commanded.","And Moses spake unto the heads of the tribes concerning the children of Israel, saying, This is the thing which the LORD hath commanded."
 1.0000,"If a man vow a vow unto the LORD, or swear an oath to bind his soul with a bond; he shall not break his word, he shall do according to all that proceedeth out of his mouth.","If a man vow a vow unto the LORD, or swear an oath to bind his soul with a bond; he shall not break his word, he shall do according to all that proceedeth out of his mouth."
 1.0000,"If a woman also vow a vow unto the LORD, and bind herself by a bond, being in her father's house in her youth;","If a woman also vow a vow unto the LORD, and bind herself by a bond, being in her father's house in her youth;"
 1.0000,"And her father hear her vow, and her bond wherewith she hath bound her soul, and her father shall hold his peace at her; then all her vows shall stand, and every bond wherewith she hath bound her soul shall stand.","And her father hear her vow, and her bond wherewith she hath bound her soul, and her father shall hold his peace at her; then all her vows shall stand, and every bond wherewith she hath bound her soul shall stand."
 1.0000,"But if her father disallow her in the day that he heareth; not any of her vows, or of her bonds wherewith she hath bound her soul, shall stand: and the LORD shall forgive her, because her father disallowed her.","But if her father disallow her in the day that he heareth; not any of her vows, or of her bonds wherewith she hath bound her soul, shall stand: and the LORD shall forgive her, because her father disallowed her."
 1.0000,"And if she had at all an husband, when she vowed, or uttered ought out of her lips, wherewith she bound her soul;","And if she had at all an husband, when she vowed, or uttered ought out of her lips, wherewith she bound her soul;"
 1.0000,"And her husband heard it, and held his peace at her in the day that he heard it: then her vows shall stand, and her bonds wherewith she bound her soul shall stand.","And her husband heard it, and held his peace at her in the day that he heard it: then her vows shall stand, and her bonds wherewith she bound her soul shall stand."
 1.0000,"But if her husband disallowed her on the day that he heard it; then he shall make her vow which she vowed, and that which she uttered with her lips, wherewith she bound her soul, of none effect: and the LORD shall forgive her.","But if her husband disallowed her on the day that he heard it; then he shall make her vow which she vowed, and that which she uttered with her lips, wherewith she bound her soul, of none effect: and the LORD shall forgive her."
 1.0000,"But every vow of a widow, and of her that is divorced, wherewith they have bound their souls, shall stand against her.","But every vow of a widow, and of her that is divorced, wherewith they have bound their souls, shall stand against her."
 1.0000,"And if she vowed in her husband's house, or bound her soul by a bond with an oath;","And if she vowed in her husband's house, or bound her soul by a bond with an oath;"
 1.0000,"And her husband heard it, and held his peace at her, and disallowed her not: then all her vows shall stand, and every bond wherewith she bound her soul shall stand.","And her husband heard it, and held his peace at her, and disallowed her not: then all her vows shall stand, and every bond wherewith she bound her soul shall stand."
 1.0000,"But if her husband hath utterly made them void on the day he heard them; then whatsoever proceeded out of her lips concerning her vows, or concerning the bond of her soul, shall not stand: her husband hath made them void; and the LORD shall forgive her.","But if her husband hath utterly made them void on the day he heard them; then whatsoever proceeded out of her lips concerning her vows, or concerning the bond of her soul, shall not stand: her husband hath made them void; and the LORD shall forgive her."
 1.0000,"Every vow, and every binding oath to afflict the soul, her husband may establish it, or her husband may make it void.","Every vow, and every binding oath to afflict the soul, her husband may establish it, or her husband may make it void."
 1.0000,"But if her husband altogether hold his peace at her from day to day; then he establisheth all her vows, or all her bonds, which are upon her: he confirmeth them, because he held his peace at her in the day that he heard them.","But if her husband altogether hold his peace at her from day to day; then he establisheth all her vows, or all her bonds, which are upon her: he confirmeth them, because he held his peace at her in the day that he heard them."
 1.0000,But if he shall any ways make them void after that he hath heard them; then he shall bear her iniquity.,But if he shall any ways make them void after that he hath heard them; then he shall bear her iniquity.
 1.0000,"These are the statutes, which the LORD commanded Moses, between a man and his wife, between the father and his daughter, being yet in her youth in her father's house.","These are the statutes, which the LORD commanded Moses, between a man and his wife, between the father and his daughter, being yet in her youth in her father's house."
 1.0000,"And the LORD spake unto Moses, saying,","And the LORD spake unto Moses, saying,"
 1.0000,Avenge the children of Israel of the Midianites: afterward shalt thou be gathered unto thy people.,Avenge the children of Israel of the Midianites: afterward shalt thou be gathered unto thy people.
 1.0000,"And Moses spake unto the people, saying, Arm some of yourselves unto the war, and let them go against the Midianites, and avenge the LORD of Midian.","And Moses spake unto the people, saying, Arm some of yourselves unto the war, and let them go against the Midianites, and avenge the LORD of Midian."
 1.0000,"Of every tribe a thousand, throughout all the tribes of Israel, shall ye send to the war.","Of every tribe a thousand, throughout all the tribes of Israel, shall ye send to the war."
 1.0000,"So there were delivered out of the thousands of Israel, a thousand of every tribe, twelve thousand armed for war.","So there were delivered out of the thousands of Israel, a thousand of every tribe, twelve thousand armed for war."
 1.0000,"And Moses sent them to the war, a thousand of every tribe, them and Phinehas the son of Eleazar the priest, to the war, with the holy instruments, and the trumpets to blow in his hand.","And Moses sent them to the war, a thousand of every tribe, them and Phinehas the son of Eleazar the priest, to the war, with the holy instruments, and the trumpets to blow in his hand."
 1.0000,"And they warred against the Midianites, as the LORD commanded Moses; and they slew all the males.","And they warred against the Midianites, as the LORD commanded Moses; and they slew all the males."
 1.0000,"And they slew the kings of Midian, beside the rest of them that were slain; namely, Evi, and Rekem, and Zur, and Hur, and Reba, five kings of Midian: Balaam also the son of Beor they slew with the sword.","And they slew the kings of Midian, beside the rest of them that were slain; namely, Evi, and Rekem, and Zur, and Hur, and Reba, five kings of Midian: Balaam also the son of Beor they slew with the sword."
 1.0000,"And the children of Israel took all the women of Midian captives, and their little ones, and took the spoil of all their cattle, and all their flocks, and all their goods.","And the children of Israel took all the women of Midian captives, and their little ones, and took the spoil of all their cattle, and all their flocks, and all their goods."
 1.0000,"And they burnt all their cities wherein they dwelt, and all their goodly castles, with fire.","And they burnt all their cities wherein they dwelt, and all their goodly castles, with fire."
