 0.9243,In the beginning God created the heaven and the earth.,A revelation from Him Who created the earth and the heavens on high.
 0.9187,"And Mahalaleel lived sixty and five years, and begat Jared:",The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9218,"And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:",The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9117,And all the days of Mahalaleel were eight hundred ninety and five years: and he died.,The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.8961,"And Jared lived an hundred sixty and two years, and he begat Enoch:","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9256,"And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.8988,And all the days of Jared were nine hundred sixty and two years: and he died.,The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9227,"And Enoch lived sixty and five years, and begat Methuselah:","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9333,"And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.8827,And all the days of Enoch were three hundred sixty and five years:,The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9019,And Enoch walked with God: and he was not; for God took him.,"Before them the People of Noah rejected (their messenger): they rejected Our servant, and said, ""Here is one possessed!"", and he was driven out."
 0.9166,"And Methuselah lived an hundred eighty and seven years, and begat Lamech.",The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9259,"And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters:",The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9080,And all the days of Methuselah were nine hundred sixty and nine years: and he died.,The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.8955,"And Lamech lived an hundred eighty and two years, and begat a son:",The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9528,"And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD hath cursed.","And when the Word is fulfilled against them (the unjust), we shall produce from the earth a beast to (face) them: He will speak to them, for that mankind did not believe with assurance in Our Signs."
 0.9138,"And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9011,And all the days of Lamech were seven hundred seventy and seven years: and he died.,The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.8996,"And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth.","We gave him Isaac and Jacob: all (three) guided: and before him, We guided Noah, and among his progeny, David, Solomon, Job, Joseph, Moses, and Aaron: thus do We reward those who do good:"
 0.8541,"And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them,","Behold! in the creation of the heavens and the earth, and the alternation of night and day,- there are indeed Signs for men of understanding,-"
 0.9024,That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.,"We did aforetime grant to the Children of Israel the Book the Power of Command, and Prophethood; We gave them, for Sustenance, things good and pure; and We favoured them above the nations."
 0.9405,"And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years.","And those who are blessed shall be in the Garden: They will dwell therein for all the time that the heavens and the earth endure, except as thy Lord willeth: a gift without break."
 0.9103,"There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown.","And We made a people, considered weak (and of no account), inheritors of lands in both east and west, - lands whereon We sent down Our blessings. The fair promise of thy Lord was fulfilled for the Children of Israel, because they had patience and constancy, and We levelled to the ground the great works and fine buildings which Pharaoh and his people erected (with such pride)."
